name	place	lat	lon
@mralext20	Alaska, USA	64.4459613	-149.680909
@mrjasan	Naples, Collier County, Florida, USA	26.1421976	-81.7942944
@mrsavefenix	Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España	40.4167047	-3.7035825
@mr_chun	Atlanta, Fulton County, Georgia, USA	33.7490987	-84.3901849
@MsToun	Toronto, Ontario, Canada	43.653963	-79.387207
@Myles_of_em	Surrey, Metro Vancouver, British Columbia, V3T 1V8, Canada	49.1913033	-122.8491439
@mythicalpizza	Kansas City, Wyandotte County, Kansas, USA	39.1134562	-94.626497
@nCatalogna	Aire, Avenida Belgrano, Microcentro, Comuna 1, Monserrat, CABA, C1091ABA, Argentina	-34.6130461	-58.3824172
@newarknj360	Mays Landing, Atlantic County, New Jersey, 08330, USA	39.4523326	-74.727661
@NewDarkAge	Manchester, Greater Manchester, North West England, England, UK	53.4791301	-2.2441009
@NickTheFNicon	Waco, McLennan County, Texas, USA	31.549333	-97.1466695
@NikolajewDesign	Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada	45.4972159	-73.6103642
@nileriverr	Baby Island, 55-48, Myrtle Avenue, Ridgewood, Queens County, NYC, New York, 11418, USA	40.6999226	-73.9068011
@noeleon64	Evansville, Vanderburgh County, Indiana, USA	37.9747645	-87.5558483
@Nonsensicole	California, USA	36.7014631	-118.7559974
@norareed	New Mexico, USA	34.5708167	-105.993007
@Nuclear_Fishin	Sydney, NSW, Australia	-33.8548157	151.2164539
@oceangrunge	Monterrey, Nuevo León, México	25.63978365	-100.293101629066
@oliverbcampbell	Iowa, USA	41.9216734	-93.3122705
@ollchicken	Minnesota, USA	45.9896587	-94.6113288
@Outer_Zevin	Kentucky, USA	37.5726028	-85.1551411
@papertigerss	Buffalo, Erie County, New York, USA	42.8867166	-78.8783922
@PaulinaSedgwick	CDMX, México	19.32055625	-99.1517010707765
@paytno	Gardner, Johnson County, Kansas, 66030, USA	38.8109254	-94.9272958
@PeIicans	Nashville-Davidson, Davidson County, Tennessee, USA	36.1622296	-86.7743531
@Pemalite	South Australia, Australia	-30.5343665	135.6301212
@pfaliano	Medford, Middlesex County, Massachusetts, USA	42.4184296	-71.1061639
@playr	Bengaluru, Bangalore Urban, Karnataka, India	12.9791198	77.5912997
@PLUTOAPLANET	Pluto, Raleigh County, West Virginia, USA	37.7103957	-80.9923144
@Potrblog	St. Louis, City of St. Louis, Missouri, USA	38.6272733	-90.1978889
@Potross	York, Yorkshire and the Humber, England, YO1 8RS, UK	53.9590555	-1.0815361
@PrincepsSigge	Great White, Gulf Shores, Baldwin County, Alabama, 35642, USA	30.2595435	-87.684786
@protensity	USA	39.7837304	-100.4458825
@qu3becker	Laval (13), Québec, Canada	45.60558895	-73.7344173056906
@raffy_giul	Sydney, NSW, Australia	-33.8548157	151.2164539
@rainsfx	Florida, USA	27.7567667	-81.4639835
@RamblingCake	Philadelphia, Philadelphia County, Pennsylvania, USA	39.9524152	-75.1635755
@reissdjo	Thurrock, East of England, England, UK	51.5080169	0.396281764543767
@RFord27	Toronto, Ontario, Canada	43.653963	-79.387207
@Riilu_	Sverige	59.6749712	14.5208584
@rivin2e	Texas, USA	31.8160381	-99.5120986
@robertnlee	Portland International Airport, Portland Airport, Portland, Multnomah County, Oregon, 97218, USA	45.5871326	-122.592779849392
@robotopossom	Eastern University, Huston Road, Radnor Township, Delaware County, Pennsylvania, 19087, USA	40.0505672	-75.3710932636663
@RobotParking	La Cantada, Reznos, Campo de Gómara, Soria, Castilla y León, España	41.5836322	-2.0311339
@roedoralado	Santiago, Provincia de Santiago, Región Metropolitana de Santiago, Chile	-33.4377968	-70.6504451
@roloz	San Salvador, Departamento de San Salvador, CP-1101, El Salvador	13.6989939	-89.1914249
@RossSheingold	LA, Los Angeles County, California, USA	34.0536834	-118.2427669
@SAL3977	NYC, New York, USA	40.7308619	-73.9871558
@Samdesu117	NYC, New York, USA	40.7308619	-73.9871558
@schmotdocker	Chicago, Cook County, Illinois, USA	41.8755616	-87.6244212
@sdiox	Globol, 760, Avenida Julius Nyerere, Sommerschield I, Distrito Urbano de KaMpfumo, Maputo, Cidade de Maputo, C.P. 338, Moçambique	-25.9737263	32.594399
@SebasAcevedo	Medellín, Zona Urbana Medellín, Medellín, Valle de Aburrá, Antioquia, 0500, Colombia	6.2443382	-75.573553
@seeinginfrared	USA	39.7837304	-100.4458825
@SFucc	France métropolitaine, France	46.603354	1.8883335
@Sickroy6	Kleve, Kreis Kleve, Regierungsbezirk Düsseldorf, Nordrhein-Westfalen, 47533, Deutschland	51.7895571	6.1376008
@SiefatFatin	Toronto, Ontario, Canada	43.653963	-79.387207
@silviaestefa	Lima, Perú	-12.0621065	-77.0365256
@SingularitySpy	USA	39.7837304	-100.4458825
@SkeletonBill	Halifax, Yorkshire and the Humber, England, HX1 1TH, UK	53.7229229	-1.8604874
@SlackerK	Vancouver, Metro Vancouver, British Columbia, Canada	49.2608724	-123.1139529
@slowbeef	New Jersey, USA	40.0757384	-74.4041622
@smnul	Why, Pima County, Arizona, USA	32.268672	-112.7387586
@Smurgen	SF, California, USA	37.7647993	-122.4629897
@snes2	ישראל	30.8760272	35.0015196
@soderstrom	Virginia Beach, Virginia, 23451, USA	36.8529841	-75.9774183
@Soomeguy	João Pessoa, Microrregião de João Pessoa, Região Metropolitana de João Pessoa, Mesorregião da Mata Paraibana, PB, Região Nordeste, Brasil	-7.1215981	-34.882028
@SoSquirrel	Україна	49.4871968	31.2718321
@SRAlbatross	Leicester, East Midlands, England, LE1 5YA, UK	52.6361398	-1.1330789
@sschinke	Canada	61.0666922	-107.9917071
@Suppose_Not	Metro Area, Ettumanoor - Ernakulam Road, Chambakara, Thaikoodam, Kochi, Ernakulam, Kerala, 682019, India	9.968404	76.3206237924495
@swamiwammiloo	Toronto, Ontario, Canada	43.653963	-79.387207
@SweetLemons77	Mountain King, Ranchitos Road, San Pedro, Santa Fe County, New Mexico, USA	35.2405979	-106.1989126
@SwiftOnSecurity	Cyber, Bend, Deschutes County, Oregon, 97702, USA	44.0484363	-121.3248943
@swxxii	City of Melbourne, Victoria, Australia	-37.8142176	144.9631608
@tangemess	Vancouver, Metro Vancouver, British Columbia, Canada	49.2608724	-123.1139529
@Tawnie	Norge, Ytterbyvegen, Namsos, Trøndelag, 7810, Norge	64.5731537	11.5280364395482
@tfwnololi	USA	39.7837304	-100.4458825
@thebigshotjames	Denver, Denver County, Colorado, USA	39.7391428	-104.984696
@TheBionicOnion	Irvine, Cypress County, Alberta, Canada	49.9584438	-110.2732606
@TheBrownHatter	Missouri, USA	38.7604815	-92.5617875
@TheCasualCritic	Lethbridge, City of Lethbridge, Alberta, T1J 4L3, Canada	49.694285	-112.851562
@TheHippestHippo	Mesquite, Farmers Branch, Dallas County, Texas, 75244, USA	32.9279051	-96.8481846
@TheMr357	USA	39.7837304	-100.4458825
@themushmouth	Nowhere, Franklin County, Kansas, USA	38.7311123	-95.2414104
@TheOnlyAhKi	Dallas, Dallas County, Texas, USA	32.7762719	-96.7968559
@TheRealMagua	Columbus, Franklin County, Ohio, USA	39.9622601	-83.0007065
@thomasclarkin	The Yacht Club, Saint Simon Mills, Glynn County, Georgia, USA	31.16491425	-81.411878263692
@thomasthebest13	Massachusetts, USA	42.3788774	-72.032366
@TidFriction	NSW, Australia	-31.8759835	147.2869493
@TimCho0	广东省, 中国	23.1357694	113.1982688
@timonus	SF, California, USA	37.7647993	-122.4629897
@tirckt	D, 31, Avenue Pasteur, Le Pharo, Marseille 7e Arrondissement, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13007, France	43.2903156	5.36021353984594
@tony666cuban	Kiribati	0.306	173.664834025
@Tucson_Police	Tucson, Pima County, Arizona, USA	32.2218917	-110.9262353
@tundeTokun	Canada	61.0666922	-107.9917071
@TyboyN17	Long Island, Town of Webb, Herkimer County, New York, USA	43.90594575	-74.9983060734476
@Uberburner	Roswell, Chaves County, New Mexico, USA	33.3943282	-104.5229518
